COG_category,Gene_Count,My_Main_Genes
S,610,"ytfP, yjbF, yphJ, yphH, gluP, yqgQ, yeaO, fnq20, WQ51_02665, phnX"
L,360,"B4168_4126, sip, polC, uvrB, uvrA, pcrA, ligA, polA, fpg, dnaB"
G,283,"pgi, glcK, galT, xfp, glmM, fruA, aga, lacL, lacM, lacE"
K,252,"yclJ, msmR, rimI, arcR, nusA, ylxR, hrcA, whiA, fruR, galR"
M,173,"ltaS, bsh, galE, rseP, racD, glmS, murC, lepA, prsA, gspA"
J,165,"ywbD, ebsC, rpmG, argS, rpsB, tsf, frr, proS, ylxQ, infB"
E,150,"aroD, gdhA, asnB, arcA, argF, arcC, phnW, glnQ, aroF, aroB"
P,113,"fhuD9, fhuC, yqhL, glnP, eriC, spx4, napA, yckA, cat, cah"
F,98,"pyrH, gatA, aroK, coaE, pyrD, gmk2, nupC, pyrE, pyrF, carB"
U,95,"fhuB, fhuG, sppA, tcyP, amt, malC, malD, XK27_08840, lspA, dtpT"
C,80,"glpQ, nifJ, egsA, ldhB, pyrK, pyc, pdhD, pdhC, pdhB, pdhA"
T,66,"yclK, fruA, pphA, yckB, ciaH, glnH, lon, typA, yufL, malR3"
I,63,"uppS, gdh, dagK, phaJ, mprF, sorD, yhxD, fadD, fabZ, fabI"
V,63,"ysaA, uppP, sagG, ecsA, XK27_09605, XK27_09600, drrA, potA3, vanZ, dinF"
O,58,"yeaZ, tsaD, grpE, dnaK, dnaJ, sppA, clpX, clpB, ahpF, ahpC"
H,51,"folA, fhuC, fthC, ribF, hemN, pfkB, dxs, thiD, kbl, coaD"
D,44,"tig, engB, ftsW, gpsB, xerC, scpB, scpA, xerD, divIC, soj"
Q,27,"gdh, sorD, entB, yhxD, fadD, yndB, yqeM, fabG, acpP, rrmA"
N,19,"acmA, mecA, comGD, comGB, comGA, comC"
W,1,
