#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1216781-1218154|- -            458 12869at186826        -            387  2.5e-171  567.3  15.8   1   1  5.8e-174  3.6e-171  566.8  15.8     1   387     6   447     6   447 0.92 tig00000001_1187 # 1216781 # 1218154 # -1 # ID=1_1187;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.410
tig00000001:1836459-1837154|+ -            232 12869at186826        -            387     1e-07   28.7  11.8   1   2     0.025        16    1.8   1.1   230   255    95   120    56   133 0.57 tig00000001_1771 # 1836459 # 1837154 # 1 # ID=1_1771;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.431
tig00000001:1836459-1837154|+ -            232 12869at186826        -            387     1e-07   28.7  11.8   2   2   3.8e-10   2.4e-07   27.5  11.4   290   377   107   199    80   203 0.70 tig00000001_1771 # 1836459 # 1837154 # 1 # ID=1_1771;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.431
tig00000001:1259422-1259991|- -            190 12869at186826        -            387   1.1e-07   28.6   1.2   1   2   0.00062      0.38    7.1   0.0   211   262    55   106    23   121 0.85 tig00000001_1229 # 1259422 # 1259991 # -1 # ID=1_1229;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.430
tig00000001:1259422-1259991|- -            190 12869at186826        -            387   1.1e-07   28.6   1.2   2   2   4.7e-08   2.9e-05   20.6   0.2   340   375   133   168   130   173 0.94 tig00000001_1229 # 1259422 # 1259991 # -1 # ID=1_1229;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.430
tig00000001:2393483-2393968|+ -            162 12869at186826        -            387    0.0012   15.3   3.0   1   2     0.081        50    0.1   0.0   346   368     4    26     2    36 0.65 tig00000001_2321 # 2393483 # 2393968 # 1 # ID=1_2321;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.422
tig00000001:2393483-2393968|+ -            162 12869at186826        -            387    0.0012   15.3   3.0   2   2     1e-05    0.0064   12.9   2.3   277   372    23   108    10   127 0.52 tig00000001_2321 # 2393483 # 2393968 # 1 # ID=1_2321;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.422
tig00000001:1242045-1242581|- -            179 12869at186826        -            387    0.0021   14.5   1.0   1   2     0.092        57   -0.1   0.1   218   249    75   106    53   113 0.65 tig00000001_1210 # 1242045 # 1242581 # -1 # ID=1_1210;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.469
tig00000001:1242045-1242581|- -            179 12869at186826        -            387    0.0021   14.5   1.0   2   2   8.6e-06    0.0053   13.2   0.1   340   375   118   153   107   160 0.91 tig00000001_1210 # 1242045 # 1242581 # -1 # ID=1_1210;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.469
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_downloads/lineages/lactobacillales_odb10/hmms/12869at186826.hmm
# Target file:     /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/run_lactobacillales_odb10/hmmer_output/12869at186826.out --cpu 1 /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_downloads/lineages/lactobacillales_odb10/hmms/12869at186826.hmm /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/vico3159/genome_analyses/analyses/02_assembly/evaluation
# Date:            Tue Apr 28 08:09:57 2026
# [ok]
