# BUSCO version is: 6.0.0 
# The lineage dataset is: lactobacillales_odb10 (Creation date: 2024-01-08, number of genomes: 304, number of BUSCOs: 402)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
72at186826	Complete	tig00000001	113936	118294	+	1932.6	1108	https://v10-1.orthodb.org/?query=72at186826	DNA polymerase III PolC-type
157at186826	Complete	tig00000001	1372711	1369094	-	1909.1	998	https://v10-1.orthodb.org/?query=157at186826	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
164at186826	Complete	tig00000001	1369015	1365362	-	1884.6	1009	https://v10-1.orthodb.org/?query=164at186826	DNA-directed RNA polymerase subunit beta'
304at186826	Complete	tig00000001	1188501	1184980	-	1326.0	836	https://v10-1.orthodb.org/?query=304at186826	Transcription-repair-coupling factor
322at186826	Complete	tig00000001	514071	511486	-	389.5	549	https://v10-1.orthodb.org/?query=322at186826	ATP-dependent helicase/deoxyribonuclease subunit B
610at186826	Complete	tig00000001	2630773	2633562	+	588.4	549	https://v10-1.orthodb.org/?query=610at186826	Helicase superfamily 1/2, ATP-binding domain
617at186826	Complete	tig00000001	1149502	1147088	-	1224.9	677	https://v10-1.orthodb.org/?query=617at186826	Leucine--tRNA ligase
685at186826	Complete	tig00000001	511489	507767	-	886.2	800	https://v10-1.orthodb.org/?query=685at186826	UvrD-like DNA helicase, C-terminal
767at186826	Complete	tig00000001	2381003	2383648	+	1291.9	725	https://v10-1.orthodb.org/?query=767at186826	Valine--tRNA ligase
1006at186826	Complete	tig00000001	446323	443681	-	1073.0	696	https://v10-1.orthodb.org/?query=1006at186826	Alanine--tRNA ligase
1102at186826	Complete	tig00000001	236691	239336	+	979.6	672	https://v10-1.orthodb.org/?query=1102at186826	DNA polymerase I
1193at186826	Complete	tig00000001	147967	150783	+	1534.2	831	https://v10-1.orthodb.org/?query=1193at186826	UvrABC system protein A
1377at186826	Complete	tig00000001	2459772	2462132	+	765.1	589	https://v10-1.orthodb.org/?query=1377at186826	DNA mismatch repair protein MutS
1456at186826	Complete	tig00000001	1041764	1039551	-	917.4	563	https://v10-1.orthodb.org/?query=1456at186826	RelA/SpoT
1467at186826	Complete	tig00000001	506000	503580	-	764.1	624	https://v10-1.orthodb.org/?query=1467at186826	Phenylalanine--tRNA ligase beta subunit
1510at186826	Complete	tig00000001	797756	794442	-	783.2	619	https://v10-1.orthodb.org/?query=1510at186826	DNA-directed DNA polymerase
1881at186826	Complete	tig00000001	2151224	2154022	+	1239.3	772	https://v10-1.orthodb.org/?query=1881at186826	Isoleucine--tRNA ligase
2022at186826	Complete	tig00000001	2301261	2303270	+	920.2	523	https://v10-1.orthodb.org/?query=2022at186826	Methionine--tRNA ligase
2303at186826	Complete	tig00000001	187605	189839	+	850.7	564	https://v10-1.orthodb.org/?query=2303at186826	ATP-dependent DNA helicase
2376at186826	Complete	tig00000001	1478512	1480599	+	1120.0	598	https://v10-1.orthodb.org/?query=2376at186826	Elongation factor G
2414at186826	Complete	tig00000001	2528418	2530952	+	1191.9	655	https://v10-1.orthodb.org/?query=2414at186826	SecA, preprotein cross-linking domain
2652at186826	Complete	tig00000001	2138145	2140337	+	412.9	435	https://v10-1.orthodb.org/?query=2652at186826	Penicillin-binding protein, dimerisation domain
2657at186826	Complete	tig00000001	1004345	1001757	-	691.5	573	https://v10-1.orthodb.org/?query=2657at186826	RecD-like DNA helicase
2859at186826	Complete	tig00000001	1426628	1429099	+	1316.5	722	https://v10-1.orthodb.org/?query=2859at186826	DNA gyrase subunit A
3249at186826	Complete	tig00000001	257577	259412	+	1050.7	552	https://v10-1.orthodb.org/?query=3249at186826	Elongation factor 4
3495at186826	Complete	tig00000001	557213	555384	-	983.2	538	https://v10-1.orthodb.org/?query=3495at186826	GTP-binding protein
3699at186826	Complete	tig00000001	841133	843367	+	1038.5	593	https://v10-1.orthodb.org/?query=3699at186826	ClpA/B, conserved site 1
3972at186826	Complete	tig00000001	112015	113724	+	768.8	494	https://v10-1.orthodb.org/?query=3972at186826	Proline--tRNA ligase
4175at186826	Complete	tig00000001	655104	653026	-	955.8	564	https://v10-1.orthodb.org/?query=4175at186826	DNA topoisomerase, type IA
4206at186826	Complete	tig00000001	145963	147957	+	1048.8	570	https://v10-1.orthodb.org/?query=4206at186826	excinuclease ABC subunit B
4394at186826	Complete	tig00000001	643259	640809	-	1120.2	664	https://v10-1.orthodb.org/?query=4394at186826	DNA topoisomerase, type IIA, subunit A/C-terminal
4670at186826	Complete	tig00000001	172998	171193	-	711.5	489	https://v10-1.orthodb.org/?query=4670at186826	Glutamine--fructose-6-phosphate aminotransferase 
4691at186826	Complete	tig00000001	1179882	1177771	-	821.0	467	https://v10-1.orthodb.org/?query=4691at186826	Peptidase M41
4783at186826	Complete	tig00000001	481560	479263	-	390.3	332	https://v10-1.orthodb.org/?query=4783at186826	Single-stranded-DNA-specific exonuclease RecJ
4915at186826	Complete	tig00000001	645316	643271	-	997.6	556	https://v10-1.orthodb.org/?query=4915at186826	DNA topoisomerase 4 subunit B
5144at186826	Complete	tig00000001	1430601	1432574	+	439.7	365	https://v10-1.orthodb.org/?query=5144at186826	Cyclic-di-AMP phosphodiesterase
5318at186826	Complete	tig00000001	846042	844462	-	776.7	428	https://v10-1.orthodb.org/?query=5318at186826	Peptide chain release factor 3
5396at186826	Complete	tig00000001	807510	805357	-	411.9	449	https://v10-1.orthodb.org/?query=5396at186826	Penicillin-binding protein, dimerisation domain
5401at186826	Complete	tig00000001	1559266	1561911	+	1061.7	688	https://v10-1.orthodb.org/?query=5401at186826	DNA mismatch repair protein MutS
5473at186826	Complete	tig00000001	1424662	1426608	+	963.7	526	https://v10-1.orthodb.org/?query=5473at186826	DNA gyrase subunit B
5484at186826	Complete	tig00000001	2388944	2387265	-	808.0	467	https://v10-1.orthodb.org/?query=5484at186826	Ribonuclease J
5506at186826	Complete	tig00000001	810816	808876	-	854.1	495	https://v10-1.orthodb.org/?query=5506at186826	Threonine--tRNA ligase
5578at186826	Complete	tig00000001	2576281	2578008	+	699.1	454	https://v10-1.orthodb.org/?query=5578at186826	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
5694at186826	Complete	tig00000001	2508070	2510427	+	695.2	490	https://v10-1.orthodb.org/?query=5694at186826	Ribonuclease R
5740at186826	Complete	tig00000001	2070026	2071636	+	836.3	459	https://v10-1.orthodb.org/?query=5740at186826	CTP synthase
5746at186826	Complete	tig00000001	701766	699925	-	479.3	411	https://v10-1.orthodb.org/?query=5746at186826	DNA primase
5798at186826	Complete	tig00000001	139376	141205	+	996.7	523	https://v10-1.orthodb.org/?query=5798at186826	Chaperone protein DnaK
5874at186826	Complete	tig00000001	2462715	2464493	+	785.7	508	https://v10-1.orthodb.org/?query=5874at186826	excinuclease ABC subunit C
6253at186826	Duplicated	tig00000001	1461068	1459503	-	755.7	412	https://v10-1.orthodb.org/?query=6253at186826	GMP synthase
