#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_2	393349	13	N	Y	1	*	*,2,*
contig_30	309423	11	N	Y	1	*	*,30,*
contig_72	160117	9	N	Y	1	*	*,72,*
contig_61	150833	8	N	Y	1	*	*,61,*
contig_47	127706	11	N	Y	1	*	*,47,*
contig_60	115068	11	N	Y	1	*	*,60,*
contig_39	114179	14	N	Y	1	*	*,39,*
contig_33	112273	8	N	Y	1	*	*,33,*
contig_44	106681	12	N	Y	1	*	*,44,*
contig_35	101702	7	N	Y	1	*	*,35,*
contig_6	99057	8	N	Y	1	*	*,6,*
contig_66	91455	6	N	Y	1	*	*,66,*
contig_58	85332	13	N	Y	1	*	*,58,*
contig_54	83650	13	N	Y	1	*	*,54,*
contig_28	79789	9	N	Y	1	*	*,28,*
contig_22	65163	15	N	Y	1	*	*,22,*
contig_25	62434	8	N	Y	1	*	*,25,*
contig_64	57408	10	N	Y	1	*	*,64,*
contig_57	54784	13	N	Y	1	*	*,57,*
contig_11	51980	8	N	Y	1	*	*,11,*
contig_12	51766	6	N	Y	1	*	*,12,*
contig_84	50047	3	Y	N	1	*	84
contig_1	48221	7	N	N	1	*	*,1,*
contig_71	47414	8	N	Y	1	*	*,71,*
contig_65	46178	6	N	N	1	*	*,65,*
contig_73	44802	9	N	Y	1	*	*,73,*
contig_79	39446	3	N	N	1	*	*,79,*
contig_53	39172	13	N	Y	1	*	*,53,*
contig_19	38708	9	N	Y	1	*	*,19,*
contig_38	38379	9	N	Y	1	*	*,38,*
contig_37	38371	12	N	N	3	*	*,37,*
contig_8	37037	10	N	Y	1	*	*,8,*
contig_20	36782	5	N	N	1	*	*,20,*
contig_4	34725	10	N	Y	1	*	*,4,*
contig_5	33400	6	N	Y	1	*	*,5,*
contig_55	31070	7	N	N	1	*	*,55,*
contig_49	30630	9	N	Y	1	*	*,49,*
contig_7	30264	6	N	N	1	*	*,7,*
contig_75	29066	8	N	Y	1	*	*,75,*
contig_52	28707	8	N	Y	1	*	*,52,*
contig_29	28550	9	N	Y	1	*	*,29,*
contig_13	27595	3	N	N	1	*	*,13,*
contig_82	27566	10	N	Y	1	*	*,82,*
contig_3	27436	9	N	Y	1	*	*,3,*
contig_78	26975	9	N	Y	1	*	*,78,*
contig_56	25970	4	N	Y	1	*	*,56,*
contig_77	24536	9	N	Y	1	*	*,77,*
contig_21	23911	19	N	N	4	*	*,21,*
contig_69	23696	4	N	N	1	*	*,69,*
contig_14	23428	7	N	Y	1	*	*,14,*
contig_32	22665	7	N	N	1	*	*,32,*
contig_51	19737	12	N	Y	1	*	*,51,*
contig_42	19631	6	N	Y	1	*	*,42,*
contig_70	19133	6	N	Y	1	*	*,70,*
contig_43	19057	5	N	N	1	*	*,43,*
contig_50	18342	6	N	Y	1	*	*,50,*
contig_80	17927	4	N	N	1	*	*,80,*
contig_62	17362	8	N	Y	1	*	*,62,*
contig_41	16100	4	N	N	1	*	*,41,*
contig_10	15851	6	N	Y	1	*	*,10,*
contig_68	15180	11	N	Y	1	*	*,68,*
contig_9	14385	8	N	N	2	*	*,9,*
contig_48	13792	8	N	Y	1	*	*,48,*
contig_45	13049	4	N	N	1	*	*,45,*
contig_40	12943	4	N	N	1	*	*,40,*
contig_24	12031	5	N	Y	1	*	*,24,*
contig_26	11847	8	N	Y	1	*	*,26,*
contig_83	11680	4	N	N	1	*	*,83,*
contig_59	11613	9	N	N	2	*	*,59,*
contig_36	10603	4	N	N	1	*	*,36,*
contig_63	9766	7	N	N	1	*	*,63,*
contig_27	9320	10	N	Y	1	*	*,27,*
contig_15	9266	7	N	Y	1	*	*,15,*
contig_23	8888	9	N	Y	1	*	*,23,*
contig_18	8740	14	N	N	3	*	*,18,*
contig_17	8609	3	N	N	1	*	*,17,*
contig_46	7900	5	N	N	1	*	*,46,*
contig_74	7502	9	N	Y	1	*	*,74,*
contig_81	7060	5	N	N	1	*	*,81,*
contig_16	5530	3	N	N	1	*	*,16,*
contig_67	5095	11	N	Y	1	*	*,67,*
contig_76	3267	14	N	Y	1	*	*,76,*
contig_31	3150	1192	N	Y	198	*	*,31,*
