#seq_name	length	coverage
contig_7	30264	6
contig_9	14385	8
contig_1	48221	7
contig_16	5530	3
contig_13	27595	3
contig_17	8609	3
contig_18	8740	14
contig_20	36782	5
contig_32	22665	7
contig_34	6234	2
contig_21	23911	19
contig_36	10603	4
contig_40	12943	4
contig_41	16100	4
contig_43	19057	5
contig_45	13049	4
contig_37	38371	12
contig_59	11613	9
contig_46	7900	5
contig_63	9766	7
contig_55	31070	7
contig_69	23696	4
contig_65	46178	6
contig_79	39446	3
contig_80	17927	4
contig_81	7060	5
contig_83	11680	4
contig_84	50047	3
contig_3	27436	9
contig_4	34725	10
contig_5	33400	6
contig_6	99057	8
contig_8	37037	10
contig_10	15851	6
contig_11	51980	8
contig_12	51766	6
contig_14	23428	7
contig_15	9266	7
contig_19	38708	9
contig_22	65163	15
contig_23	8888	9
contig_2	393349	13
contig_24	12031	5
contig_26	11847	8
contig_27	9320	10
contig_25	62434	8
contig_29	28550	9
contig_28	79789	9
contig_31	3150	1192
contig_30	309423	11
contig_33	112273	8
contig_35	101702	7
contig_38	38379	9
contig_42	19631	6
contig_39	114179	14
contig_44	106681	12
contig_48	13792	8
contig_49	30630	9
contig_50	18342	6
contig_51	19737	12
contig_52	28707	8
contig_47	127706	11
contig_53	39172	13
contig_56	25970	4
contig_57	54784	13
contig_54	83650	13
contig_58	85332	13
contig_60	115068	11
contig_62	17362	8
contig_64	57408	10
contig_61	150833	8
contig_67	5095	11
contig_68	15180	11
contig_70	19133	6
contig_66	91455	6
contig_71	47414	8
contig_73	44802	9
contig_74	7502	9
contig_75	29066	8
contig_77	24536	9
contig_76	3267	14
contig_72	160117	9
contig_78	26975	9
contig_82	27566	10
