Database	Plasmid	Identity	Query / Template length	Contig	Position in contig	Note	Accession number
Rep3	rep29	100.0	738 / 738	tig00000008 len=15428 reads=21 class=contig suggestRepeat=no suggestBubble=no suggestCircular=yes trim=3410-12727	3510..4247	EFAU085p4001(Aus0085p4)	Aus0085
Rep3	rep29	100.0	738 / 738	tig00000008 len=15428 reads=21 class=contig suggestRepeat=no suggestBubble=no suggestCircular=yes trim=3410-12727	12827..13564	EFAU085p4001(Aus0085p4)	Aus0085
Inc18	rep1	100.0	1491 / 1491	tig00000005 len=40013 reads=124 class=contig suggestRepeat=no suggestBubble=no suggestCircular=yes trim=5972-38394	10522..12012	repE(pAMbeta)	AF007787
Inc18	rep2	100.0	1494 / 1494	tig00000005 len=40013 reads=124 class=contig suggestRepeat=no suggestBubble=no suggestCircular=yes trim=5972-38394	32599..34092	orf1(pRE25)	X92945
Inc18	rep2	99.6	1498 / 1494	tig00000005 len=40013 reads=124 class=contig suggestRepeat=no suggestBubble=no suggestCircular=yes trim=5972-38394	173..1668	orf1(pRE25)	X92945
RepA_N	rep17	99.33	749 / 1041	tig00000007 len=16044 reads=9 class=contig suggestRepeat=no suggestBubble=no suggestCircular=yes trim=2415-13170	1..747	CDS29(pRUM)	AF507977
RepA_N	rep17	100.0	1041 / 1041	tig00000007 len=16044 reads=9 class=contig suggestRepeat=no suggestBubble=no suggestCircular=yes trim=2415-13170	10465..11505	CDS29(pRUM)	AF507977
RepA_N	repUS15	99.71	1041 / 1041	tig00000002 len=199382 reads=580 class=contig suggestRepeat=no suggestBubble=no suggestCircular=no trim=0-199382	194698..195738	repA(pNB2354p1)	CP004064
