#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:653026-655104|-   -            693 4175at186826         -            568  1.2e-288  955.8  15.3   1   1  2.8e-290  1.5e-287  952.2  15.3     1   564    22   664    22   672 0.91 tig00000001_656 # 653026 # 655104 # -1 # ID=1_656;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.392
tig00000001:1919360-1921330|+ -            657 4175at186826         -            568     9e-43  144.1  13.7   1   1   1.6e-44   8.1e-42  140.9  13.7    42   544    52   606    40   630 0.71 tig00000001_1850 # 1919360 # 1921330 # 1 # ID=1_1850;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.409
tig00000001:409396-411504|-   -            703 4175at186826         -            568   3.1e-32  109.2  19.6   1   4   1.5e-27   7.7e-25   84.8   1.0    44   263    91   342    79   353 0.74 tig00000001_422 # 409396 # 411504 # -1 # ID=1_422;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.388
tig00000001:409396-411504|-   -            703 4175at186826         -            568   3.1e-32  109.2  19.6   2   4   7.5e-05     0.039    9.9   0.8   165   242   350   428   342   432 0.87 tig00000001_422 # 409396 # 411504 # -1 # ID=1_422;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.388
tig00000001:409396-411504|-   -            703 4175at186826         -            568   3.1e-32  109.2  19.6   3   4   3.3e-07   0.00017   17.7   4.1   359   481   480   621   450   658 0.76 tig00000001_422 # 409396 # 411504 # -1 # ID=1_422;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.388
tig00000001:409396-411504|-   -            703 4175at186826         -            568   3.1e-32  109.2  19.6   4   4      0.21   1.1e+02   -1.5   0.2   520   563   635   673   627   676 0.75 tig00000001_422 # 409396 # 411504 # -1 # ID=1_422;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.388
tig00000002:153817-155826|-   -            670 4175at186826         -            568   9.3e-31  104.4  15.0   1   3   1.7e-26   8.7e-24   81.4   0.9    32   257    79   335    74   355 0.76 tig00000002_156 # 153817 # 155826 # -1 # ID=2_156;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.415
tig00000002:153817-155826|-   -            670 4175at186826         -            568   9.3e-31  104.4  15.0   2   3     0.015       7.9    2.3   0.7   183   238   367   423   359   430 0.86 tig00000002_156 # 153817 # 155826 # -1 # ID=2_156;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.415
tig00000002:153817-155826|-   -            670 4175at186826         -            568   9.3e-31  104.4  15.0   3   3   8.3e-09   4.3e-06   23.0   1.0   359   447   482   586   459   617 0.70 tig00000002_156 # 153817 # 155826 # -1 # ID=2_156;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.415
tig00000003:4807-7011|+       -            735 4175at186826         -            568   1.4e-30  103.8  15.1   1   1   1.3e-29   6.7e-27   91.7  14.7    32   447    79   586    75   656 0.72 tig00000003_6 # 4807 # 7011 # 1 # ID=3_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.419
tig00000001:1189431-1190405|+ -            325 4175at186826         -            568    0.0094   11.9   0.0   1   1   2.4e-05     0.012   11.5   0.0   248   342    50   144    28   169 0.86 tig00000001_1161 # 1189431 # 1190405 # 1 # ID=1_1161;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.407
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_downloads/lineages/lactobacillales_odb10/hmms/4175at186826.hmm
# Target file:     /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/run_lactobacillales_odb10/hmmer_output/4175at186826.out --cpu 1 /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_downloads/lineages/lactobacillales_odb10/hmms/4175at186826.hmm /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/vico3159/genome_analyses/analyses/02_assembly/evaluation
# Date:            Tue Apr 28 08:09:58 2026
# [ok]
