#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:84381-85343|+     -            321 19016at186826        -            256  1.8e-107  356.1  14.0   1   1    2e-108    9e-106  350.5  14.0     1   256     6   316     6   316 0.88 tig00000001_103 # 84381 # 85343 # 1 # ID=1_103;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.421
tig00000001:2521159-2522043|+ -            295 19016at186826        -            256     1e-24   84.9   3.0   1   1   2.9e-25   1.3e-22   78.0   3.0     3   227     6   244     4   285 0.70 tig00000001_2451 # 2521159 # 2522043 # 1 # ID=1_2451;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
tig00000001:1105502-1106359|- -            286 19016at186826        -            256   7.7e-21   72.2   3.6   1   3    0.0001     0.045   10.7   0.1     2    60     4    60     3    72 0.86 tig00000001_1107 # 1105502 # 1106359 # -1 # ID=1_1107;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.418
tig00000001:1105502-1106359|- -            286 19016at186826        -            256   7.7e-21   72.2   3.6   2   3   2.2e-16   9.6e-14   48.9   0.3    62   155    87   182    84   194 0.81 tig00000001_1107 # 1105502 # 1106359 # -1 # ID=1_1107;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.418
tig00000001:1105502-1106359|- -            286 19016at186826        -            256   7.7e-21   72.2   3.6   3   3   3.3e-05     0.015   12.3   0.0   195   229   204   238   196   275 0.90 tig00000001_1107 # 1105502 # 1106359 # -1 # ID=1_1107;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.418
tig00000002:131622-132494|+   -            291 19016at186826        -            256   3.9e-20   69.9   1.3   1   3   1.6e-06   0.00071   16.6   0.0     3    62     6    66     4    84 0.91 tig00000002_124 # 131622 # 132494 # 1 # ID=2_124;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.463
tig00000002:131622-132494|+   -            291 19016at186826        -            256   3.9e-20   69.9   1.3   2   3   8.1e-15   3.6e-12   43.8   0.2    77   170   104   201    91   216 0.82 tig00000002_124 # 131622 # 132494 # 1 # ID=2_124;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.463
tig00000002:131622-132494|+   -            291 19016at186826        -            256   3.9e-20   69.9   1.3   3   3    0.0011      0.48    7.3   0.0   196   229   209   242   205   253 0.85 tig00000002_124 # 131622 # 132494 # 1 # ID=2_124;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.463
tig00000001:2729347-2730219|+ -            291 19016at186826        -            256   6.1e-20   69.3   3.4   1   3   3.8e-06    0.0017   15.3   0.0     3    63     6    67     4    75 0.90 tig00000001_2644 # 2729347 # 2730219 # 1 # ID=1_2644;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
tig00000001:2729347-2730219|+ -            291 19016at186826        -            256   6.1e-20   69.3   3.4   2   3     3e-15   1.3e-12   45.2   0.8    73   170   100   201    91   209 0.84 tig00000001_2644 # 2729347 # 2730219 # 1 # ID=1_2644;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
tig00000001:2729347-2730219|+ -            291 19016at186826        -            256   6.1e-20   69.3   3.4   3   3   0.00077      0.34    7.8   0.0   196   223   209   236   201   251 0.88 tig00000001_2644 # 2729347 # 2730219 # 1 # ID=1_2644;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
tig00000001:1703795-1704664|+ -            290 19016at186826        -            256   3.6e-18   63.4   2.6   1   3   5.6e-05     0.025   11.6   0.0     3    61     5    64     4    72 0.91 tig00000001_1652 # 1703795 # 1704664 # 1 # ID=1_1652;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001:1703795-1704664|+ -            290 19016at186826        -            256   3.6e-18   63.4   2.6   2   3   4.7e-14   2.1e-11   41.3   0.9    75   157   101   187    85   204 0.81 tig00000001_1652 # 1703795 # 1704664 # 1 # ID=1_1652;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001:1703795-1704664|+ -            290 19016at186826        -            256   3.6e-18   63.4   2.6   3   3   0.00052      0.23    8.4   0.0   196   223   208   235   205   251 0.89 tig00000001_1652 # 1703795 # 1704664 # 1 # ID=1_1652;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001:2057860-2058738|+ -            293 19016at186826        -            256   1.2e-16   58.4   3.7   1   2   6.4e-05     0.028   11.4   0.0     3    64     6    68     4    78 0.90 tig00000001_1980 # 2057860 # 2058738 # 1 # ID=1_1980;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
tig00000001:2057860-2058738|+ -            293 19016at186826        -            256   1.2e-16   58.4   3.7   2   2   4.2e-13   1.8e-10   38.2   1.6    68   160    97   191    88   283 0.77 tig00000001_1980 # 2057860 # 2058738 # 1 # ID=1_1980;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_downloads/lineages/lactobacillales_odb10/hmms/19016at186826.hmm
# Target file:     /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/run_lactobacillales_odb10/hmmer_output/19016at186826.out --cpu 1 /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_downloads/lineages/lactobacillales_odb10/hmms/19016at186826.hmm /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/vico3159/genome_analyses/analyses/02_assembly/evaluation
# Date:            Tue Apr 28 08:09:57 2026
# [ok]
