# Program:featureCounts v2.1.1; Command:"featureCounts" "-F" "GFF" "-t" "CDS" "-g" "ID" "-a" "e745_annot.gff" "-o" "tnseq_master_counts.txt" "alignments/trim_ERR1801006_pass.bam" "alignments/trim_ERR1801007_pass.bam" "alignments/trim_ERR1801008_pass.bam" "alignments/trim_ERR1801009_pass.bam" "alignments/trim_ERR1801010_pass.bam" "alignments/trim_ERR1801011_pass.bam" "alignments/trim_ERR1801012_pass.bam" "alignments/trim_ERR1801013_pass.bam" "alignments/trim_ERR1801014_pass.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/trim_ERR1801006_pass.bam	alignments/trim_ERR1801007_pass.bam	alignments/trim_ERR1801008_pass.bam	alignments/trim_ERR1801009_pass.bam	alignments/trim_ERR1801010_pass.bam	alignments/trim_ERR1801011_pass.bam	alignments/trim_ERR1801012_pass.bam	alignments/trim_ERR1801013_pass.bam	alignments/trim_ERR1801014_pass.bam
IBPFAHIO_00001	tig00000001	540	1145	-	606	56	10	27	14	13	39	22	30	7
IBPFAHIO_00003	tig00000001	2675	3853	+	1179	118	48	137	110	61	102	60	75	28
IBPFAHIO_00004	tig00000001	4057	4359	-	303	0	0	0	0	0	0	0	0	0
IBPFAHIO_00006	tig00000001	5116	5889	-	774	0	2	1	0	0	1	0	0	0
IBPFAHIO_00007	tig00000001	6032	6382	+	351	0	0	0	0	0	0	0	0	0
IBPFAHIO_00008	tig00000001	6363	6485	+	123	0	0	0	0	0	0	0	0	0
IBPFAHIO_00009	tig00000001	6506	7078	+	573	0	0	0	0	0	0	0	0	0
IBPFAHIO_00010	tig00000001	7078	8526	+	1449	0	66	0	0	0	46	0	0	0
IBPFAHIO_00011	tig00000001	8597	9106	-	510	0	19	165	0	0	0	0	171	134
IBPFAHIO_00012	tig00000001	9096	9821	-	726	0	0	0	0	0	0	0	0	0
IBPFAHIO_00013	tig00000001	10044	12164	-	2121	0	0	0	15	3	1	82	0	0
IBPFAHIO_00014	tig00000001	12394	13572	+	1179	0	0	0	0	0	0	0	0	0
IBPFAHIO_00015	tig00000001	13588	14346	+	759	0	0	0	0	0	0	0	0	0
IBPFAHIO_00016	tig00000001	14369	14854	+	486	0	0	0	0	0	0	0	0	0
IBPFAHIO_00017	tig00000001	14925	16178	-	1254	0	0	0	0	0	0	0	0	65
IBPFAHIO_00018	tig00000001	16295	17644	+	1350	0	0	0	0	0	0	0	0	5
IBPFAHIO_00019	tig00000001	17756	19102	+	1347	0	0	0	0	0	0	0	0	0
IBPFAHIO_00020	tig00000001	19454	20749	-	1296	16	15	0	9	11	9	9	4	9
IBPFAHIO_00021	tig00000001	20932	21318	-	387	0	0	0	0	0	0	0	0	0
IBPFAHIO_00022	tig00000001	21542	22987	-	1446	0	20	19	0	1	35	0	10	0
IBPFAHIO_00023	tig00000001	23047	23829	-	783	20	33	0	24	3	23	17	52	27
IBPFAHIO_00024	tig00000001	24042	25001	+	960	0	0	0	0	0	0	0	0	0
IBPFAHIO_00025	tig00000001	25254	25403	-	150	0	0	0	0	0	0	0	0	0
IBPFAHIO_00026	tig00000001	25865	26077	+	213	0	0	0	0	0	0	0	0	0
IBPFAHIO_00027	tig00000001	26146	26256	+	111	0	0	0	0	0	0	0	0	0
IBPFAHIO_00028	tig00000001	26355	28154	-	1800	0	0	0	0	0	37	0	0	0
IBPFAHIO_00029	tig00000001	28278	28874	-	597	0	0	0	0	0	0	0	0	0
IBPFAHIO_00030	tig00000001	29066	30019	-	954	69	68	0	37	83	170	48	84	25
IBPFAHIO_00031	tig00000001	30291	30635	+	345	0	0	0	0	0	0	0	0	0
IBPFAHIO_00032	tig00000001	30636	31055	+	420	0	0	0	0	0	0	0	0	0
IBPFAHIO_00033	tig00000001	31147	31497	-	351	0	0	0	0	0	0	0	0	0
IBPFAHIO_00034	tig00000001	31463	32794	-	1332	74	0	47	0	188	29	114	62	0
IBPFAHIO_00035	tig00000001	33049	33615	+	567	0	5	0	0	0	19	0	36	38
IBPFAHIO_00037	tig00000001	33899	35104	-	1206	78	28	36	56	36	408	46	152	45
IBPFAHIO_00038	tig00000001	35242	35682	-	441	0	0	0	0	0	0	0	0	0
IBPFAHIO_00039	tig00000001	35821	36474	-	654	2	9	0	1	0	6	0	6	0
IBPFAHIO_00040	tig00000001	36524	36946	-	423	0	0	0	0	0	0	0	0	0
IBPFAHIO_00041	tig00000001	36957	37331	-	375	0	0	0	0	0	0	0	0	0
IBPFAHIO_00042	tig00000001	37634	37816	+	183	0	0	0	0	0	0	0	0	0
IBPFAHIO_00043	tig00000001	37832	38152	+	321	0	0	0	0	0	0	0	0	0
IBPFAHIO_00044	tig00000001	38157	38327	+	171	0	0	0	0	0	0	0	0	0
IBPFAHIO_00045	tig00000001	38331	38483	+	153	0	0	0	0	0	0	0	0	0
IBPFAHIO_00046	tig00000001	38562	39044	-	483	0	0	0	0	0	0	0	0	0
IBPFAHIO_00047	tig00000001	39096	39794	+	699	0	0	0	0	0	0	0	0	0
IBPFAHIO_00048	tig00000001	39972	40313	+	342	0	0	0	0	0	0	0	0	0
IBPFAHIO_00049	tig00000001	40306	40977	+	672	0	41	178	57	0	15	11	29	30
IBPFAHIO_00050	tig00000001	40983	41669	+	687	0	0	0	0	0	0	0	0	0
IBPFAHIO_00051	tig00000001	41672	42421	+	750	0	0	0	0	0	0	0	16	0
IBPFAHIO_00052	tig00000001	42433	42702	+	270	3	5	5	7	0	15	0	8	7
IBPFAHIO_00053	tig00000001	42707	42871	+	165	0	0	0	0	0	0	0	0	0
IBPFAHIO_00054	tig00000001	42864	43169	+	306	0	0	0	0	0	0	0	0	0
IBPFAHIO_00055	tig00000001	43163	43453	+	291	0	0	0	0	0	0	0	0	0
IBPFAHIO_00056	tig00000001	43453	43809	+	357	0	4	0	8	0	49	0	0	0
IBPFAHIO_00057	tig00000001	43769	44014	+	246	0	0	0	0	0	0	0	0	0
IBPFAHIO_00058	tig00000001	44011	44430	+	420	0	0	0	0	0	0	0	0	0
IBPFAHIO_00059	tig00000001	44427	44993	+	567	0	0	0	0	0	0	0	0	0
IBPFAHIO_00060	tig00000001	44990	45124	+	135	0	0	0	0	0	0	0	0	0
IBPFAHIO_00061	tig00000001	45093	45782	-	690	50	40	299	39	0	0	98	0	33
IBPFAHIO_00062	tig00000001	46039	46515	+	477	0	68	0	0	0	0	101	45	136
IBPFAHIO_00063	tig00000001	46834	47130	+	297	0	0	0	0	0	0	0	0	0
IBPFAHIO_00064	tig00000001	47191	47577	+	387	0	22	0	125	0	180	0	119	0
IBPFAHIO_00065	tig00000001	47558	47944	+	387	0	0	0	0	0	0	0	0	0
IBPFAHIO_00066	tig00000001	47941	48321	+	381	0	0	0	0	0	0	0	0	0
IBPFAHIO_00067	tig00000001	48433	48885	+	453	0	0	0	0	0	0	0	0	0
IBPFAHIO_00068	tig00000001	48882	50609	+	1728	0	0	0	62	0	95	32	43	0
IBPFAHIO_00069	tig00000001	50631	51761	+	1131	0	0	0	0	0	0	0	0	0
IBPFAHIO_00070	tig00000001	51831	52400	+	570	0	0	0	0	0	0	0	0	0
IBPFAHIO_00071	tig00000001	52413	53774	+	1362	0	0	0	0	0	0	0	0	0
IBPFAHIO_00072	tig00000001	53776	54054	+	279	0	0	0	0	0	0	0	0	0
