#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:2551132-2551572|+ -            147 67885at186826        -             98   5.8e-33  110.6  10.6   1   1   9.2e-34   3.2e-31  105.0  10.6     1    95     1   108     1   110 0.86 tig00000001_2482 # 2551132 # 2551572 # 1 # ID=1_2482;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.399
tig00000001:2137743-2138144|+ -            134 67885at186826        -             98    0.0022   15.7   1.2   1   1   9.4e-06    0.0032   15.2   1.2     5    58    52   107    48   118 0.72 tig00000001_2061 # 2137743 # 2138144 # 1 # ID=1_2061;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.356
tig00000001:67283-67576|+     -             98 67885at186826        -             98    0.0058   14.4   0.8   1   1   2.6e-05    0.0091   13.7   0.8     3    47     7    51     6    93 0.78 tig00000001_83 # 67283 # 67576 # 1 # ID=1_83;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.316
tig00000001:2203371-2203664|+ -             98 67885at186826        -             98     0.013   13.2   0.8   1   1   6.2e-05     0.022   12.6   0.8     3    47     7    51     6    93 0.73 tig00000001_2141 # 2203371 # 2203664 # 1 # ID=1_2141;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.320
tig00000001:913923-914216|-   -             98 67885at186826        -             98     0.013   13.2   0.8   1   1   6.2e-05     0.022   12.6   0.8     3    47     7    51     6    93 0.73 tig00000001_904 # 913923 # 914216 # -1 # ID=1_904;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.323
tig00000001:1182598-1183023|- -            142 67885at186826        -             98     0.067   11.0   3.8   1   1   0.00061      0.21    9.4   3.8    37    70    54    87    35   104 0.71 tig00000001_1156 # 1182598 # 1183023 # -1 # ID=1_1156;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000001:303874-304437|+   -            188 67885at186826        -             98       0.3    8.9   3.9   1   2     0.086        30    2.5   0.6    11    24    56    69    47    78 0.80 tig00000001_315 # 303874 # 304437 # 1 # ID=1_315;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000001:303874-304437|+   -            188 67885at186826        -             98       0.3    8.9   3.9   2   2    0.0028      0.98    7.2   0.1    28    69   115   157   110   165 0.84 tig00000001_315 # 303874 # 304437 # 1 # ID=1_315;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000001:309029-309595|+   -            189 67885at186826        -             98       5.2    4.9   9.4   1   3         9   3.1e+03   -4.2   0.7    15    23    14    22     6    27 0.48 tig00000001_324 # 309029 # 309595 # 1 # ID=1_324;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
tig00000001:309029-309595|+   -            189 67885at186826        -             98       5.2    4.9   9.4   2   3     0.062        22    2.9   0.5    11    25    56    70    48    85 0.70 tig00000001_324 # 309029 # 309595 # 1 # ID=1_324;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
tig00000001:309029-309595|+   -            189 67885at186826        -             98       5.2    4.9   9.4   3   3    0.0013      0.45    8.3   0.1    32    69   119   157   110   171 0.79 tig00000001_324 # 309029 # 309595 # 1 # ID=1_324;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
tig00000001:2375136-2376857|+ -            574 67885at186826        -             98       9.3    4.1  15.0   1   5    0.0012       0.4    8.5   2.2     6    44     6    44     1   110 0.80 tig00000001_2306 # 2375136 # 2376857 # 1 # ID=1_2306;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
