#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	46075	3	N	N	1	both	*	1
contig_7	28171	3	N	N	1	both	*	7
contig_9	13692	3	N	N	1	both	*	9
contig_13	26629	3	N	N	1	both	*	13
contig_16	5178	3	N	N	1	both	*	16
contig_17	8075	3	N	N	1	both	*	17
contig_18	8284	3	N	N	1	both	*	18
contig_20	34038	3	N	N	1	both	*	20
contig_21	22765	3	N	N	1	both	*	21
contig_32	21110	3	N	N	1	both	*	32
contig_34	5716	3	N	N	1	both	*	34
contig_36	10042	3	N	N	1	both	*	36
contig_37	36375	3	N	N	1	both	*	37
contig_40	11776	3	N	N	1	both	*	40
contig_41	15088	3	N	N	1	both	*	41
contig_43	17721	3	N	N	1	both	*	43
contig_45	12218	3	N	N	1	both	*	45
contig_46	7476	3	N	N	1	both	*	46
contig_55	29953	3	N	N	1	both	*	55
contig_59	11162	3	N	N	1	both	*	59
contig_63	9231	3	N	N	1	both	*	63
contig_65	43686	3	N	N	1	both	*	65
contig_69	22159	3	N	N	1	both	*	69
contig_79	37573	3	N	N	1	both	*	79
contig_80	17175	3	N	N	1	both	*	80
contig_81	6826	3	N	N	1	both	*	81
contig_83	11044	3	N	N	1	both	*	83
contig_84	49700	3	Y	N	1	none	*	84
contig_2	379319	7	N	Y	1	both	*	2
contig_3	25863	5	N	Y	1	both	*	3
contig_4	33270	7	N	Y	1	both	*	4
contig_5	32114	4	N	Y	1	both	*	5
contig_6	94017	4	N	Y	1	both	*	6
contig_8	35372	7	N	Y	1	both	*	8
contig_10	15145	4	N	Y	1	both	*	10
contig_11	49375	5	N	Y	1	both	*	11
contig_12	49334	4	N	Y	1	both	*	12
contig_14	22250	4	N	Y	1	both	*	14
contig_15	8886	5	N	Y	1	both	*	15
contig_19	36320	6	N	Y	1	both	*	19
contig_22	62444	7	N	Y	1	both	*	22
contig_23	8428	5	N	Y	1	both	*	23
contig_24	11025	5	N	Y	1	both	*	24
contig_25	59132	5	N	Y	1	both	*	25
contig_26	11091	4	N	Y	1	both	*	26
contig_27	8872	8	N	Y	1	both	*	27
contig_28	75455	5	N	Y	1	both	*	28
contig_29	27037	5	N	Y	1	both	*	29
contig_30	295872	6	N	Y	1	both	*	30
contig_31	3106	994	N	Y	166	both	*	31
contig_33	107214	4	N	Y	1	both	*	33
contig_35	97017	4	N	Y	1	both	*	35
contig_38	36871	5	N	Y	1	both	*	38
contig_39	108866	7	N	Y	1	both	*	39
contig_42	18515	4	N	Y	1	both	*	42
contig_44	102492	7	N	Y	1	both	*	44
contig_47	121873	7	N	Y	1	both	*	47
contig_48	13278	6	N	Y	1	both	*	48
contig_49	28998	4	N	Y	1	both	*	49
contig_50	17770	5	N	Y	1	both	*	50
contig_51	18629	8	N	Y	1	both	*	51
contig_52	27084	4	N	Y	1	both	*	52
contig_53	37675	8	N	Y	1	both	*	53
contig_54	79626	7	N	Y	1	both	*	54
contig_56	24513	4	N	Y	1	both	*	56
contig_57	52321	8	N	Y	1	both	*	57
contig_58	82023	7	N	Y	1	both	*	58
contig_60	109999	6	N	Y	1	both	*	60
contig_61	144020	5	N	Y	1	both	*	61
contig_62	17038	4	N	Y	1	both	*	62
contig_64	55250	6	N	Y	1	both	*	64
contig_66	87249	4	N	Y	1	both	*	66
contig_67	4876	6	N	Y	1	both	*	67
contig_68	14656	7	N	Y	1	both	*	68
contig_70	17602	4	N	Y	1	both	*	70
contig_71	44902	5	N	Y	1	both	*	71
contig_72	151810	5	N	Y	1	both	*	72
contig_73	43408	6	N	Y	1	both	*	73
contig_74	7176	4	N	Y	1	both	*	74
contig_75	27446	6	N	Y	1	both	*	75
contig_76	3031	7	N	Y	1	both	*	76
contig_77	23805	5	N	Y	1	both	*	77
contig_78	26081	6	N	Y	1	both	*	78
contig_82	26206	5	N	Y	1	both	*	82
