#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:2523154-2523861|+ -            236 38773at186826        -            195   5.1e-82  272.0   0.6   1   1   3.3e-84   8.5e-82  271.2   0.6     1   195     6   235     6   235 0.91 tig00000001_2454 # 2523154 # 2523861 # 1 # ID=1_2454;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
tig00000002:102160-102894|+   -            245 38773at186826        -            195   5.7e-29   98.8   0.2   1   1     3e-31   7.7e-29   98.4   0.2     2   187    10   217     9   227 0.79 tig00000002_100 # 102160 # 102894 # 1 # ID=2_100;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001:1974892-1975593|+ -            234 38773at186826        -            195   9.6e-17   58.9   0.1   1   1   5.6e-19   1.4e-16   58.4   0.1     2   172     7   194     6   216 0.79 tig00000001_1901 # 1974892 # 1975593 # 1 # ID=1_1901;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001:2226526-2227605|+ -            360 38773at186826        -            195   4.1e-16   56.9   0.1   1   1   3.2e-18   8.2e-16   55.9   0.1     3    65     4    68     2    83 0.90 tig00000001_2168 # 2226526 # 2227605 # 1 # ID=1_2168;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
tig00000001:732133-732852|+   -            240 38773at186826        -            195   3.8e-14   50.5   0.0   1   1   2.7e-16   6.9e-14   49.6   0.0     1   179     2   213     2   230 0.73 tig00000001_730 # 732133 # 732852 # 1 # ID=1_730;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001:969812-970456|-   -            215 38773at186826        -            195   6.6e-12   43.2   0.2   1   1   4.7e-14   1.2e-11   42.3   0.2     1    84    10    95    10   120 0.80 tig00000001_987 # 969812 # 970456 # -1 # ID=1_987;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
tig00000001:1566915-1567628|+ -            238 38773at186826        -            195   2.8e-11   41.1   0.3   1   2   4.2e-12   1.1e-09   35.9   0.0    10   101    11   106     3   113 0.81 tig00000001_1513 # 1566915 # 1567628 # 1 # ID=1_1513;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
tig00000001:1566915-1567628|+ -            238 38773at186826        -            195   2.8e-11   41.1   0.3   2   2     0.042        11    3.3   0.1   166   192   203   229   162   231 0.85 tig00000001_1513 # 1566915 # 1567628 # 1 # ID=1_1513;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
tig00000002:2556-2837|-       -             94 38773at186826        -            195   8.9e-11   39.5   0.0   1   1   3.9e-13     1e-10   39.3   0.0     6    70     6    72     4    85 0.89 tig00000002_3 # 2556 # 2837 # -1 # ID=2_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.316
tig00000001:564223-565647|-   -            475 38773at186826        -            195   1.2e-09   35.8   0.0   1   1   9.7e-12   2.5e-09   34.7   0.0     1    65    11    77    11    87 0.93 tig00000001_571 # 564223 # 565647 # -1 # ID=1_571;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
tig00000001:1110498-1111544|+ -            349 38773at186826        -            195   3.5e-08   31.0   0.0   1   1     2e-10   5.2e-08   30.4   0.0     1    65     4    70     4    81 0.90 tig00000001_1110 # 1110498 # 1111544 # 1 # ID=1_1110;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
tig00000001:2480317-2481711|- -            465 38773at186826        -            195   1.2e-06   26.0   0.0   1   1     8e-09   2.1e-06   25.2   0.0     1    71    23    96    23   116 0.81 tig00000001_2407 # 2480317 # 2481711 # -1 # ID=1_2407;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
tig00000001:1658786-1659472|- -            229 38773at186826        -            195    0.0043   14.4   0.2   1   1   2.3e-05    0.0058   14.0   0.2     9    77    13    82     7   123 0.78 tig00000001_1604 # 1658786 # 1659472 # -1 # ID=1_1604;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.377
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_downloads/lineages/lactobacillales_odb10/hmms/38773at186826.hmm
# Target file:     /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/run_lactobacillales_odb10/hmmer_output/38773at186826.out --cpu 1 /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_downloads/lineages/lactobacillales_odb10/hmms/38773at186826.hmm /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/vico3159/genome_analyses/analyses/02_assembly/evaluation
# Date:            Tue Apr 28 08:09:58 2026
# [ok]
