#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:824211-824738|-   -            176 41488at186826        -            143   2.6e-59  196.6   3.2   1   1   8.5e-62   5.3e-59  195.6   3.2     1   139     5   158     5   161 0.90 tig00000001_809 # 824211 # 824738 # -1 # ID=1_809;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001:2352413-2353177|+ -            255 41488at186826        -            143   2.4e-07   28.1   0.0   1   2     0.018        11    3.3   0.0    24    67     4    48     1    60 0.82 tig00000001_2286 # 2352413 # 2353177 # 1 # ID=1_2286;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
tig00000001:2352413-2353177|+ -            255 41488at186826        -            143   2.4e-07   28.1   0.0   2   2   2.4e-08   1.5e-05   22.3   0.1    86   117   194   225   185   234 0.91 tig00000001_2286 # 2352413 # 2353177 # 1 # ID=1_2286;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
tig00000001:1594656-1595351|+ -            232 41488at186826        -            143   3.4e-06   24.4   0.2   1   2    0.0067       4.2    4.6   0.0    22    57     2    36     1    40 0.81 tig00000001_1541 # 1594656 # 1595351 # 1 # ID=1_1541;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.371
tig00000001:1594656-1595351|+ -            232 41488at186826        -            143   3.4e-06   24.4   0.2   2   2   7.1e-07   0.00044   17.5   0.1    87   117   169   199   108   206 0.92 tig00000001_1541 # 1594656 # 1595351 # 1 # ID=1_1541;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.371
tig00000001:2599458-2600153|+ -            232 41488at186826        -            143   0.00013   19.2   0.0   1   3    0.0055       3.4    4.9   0.0    23    36     2    15     1    28 0.89 tig00000001_2522 # 2599458 # 2600153 # 1 # ID=1_2522;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
tig00000001:2599458-2600153|+ -            232 41488at186826        -            143   0.00013   19.2   0.0   2   3      0.79   4.9e+02   -2.1   0.0    61    89    56    84    55   105 0.70 tig00000001_2522 # 2599458 # 2600153 # 1 # ID=1_2522;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
tig00000001:2599458-2600153|+ -            232 41488at186826        -            143   0.00013   19.2   0.0   3   3   5.8e-05     0.036   11.3   0.0    86   120   162   196   157   213 0.89 tig00000001_2522 # 2599458 # 2600153 # 1 # ID=1_2522;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
tig00000001:293081-293794|+   -            238 41488at186826        -            143     0.029   11.6   0.0   1   2   0.00056      0.35    8.1   0.0    40    75    91   126    88   133 0.89 tig00000001_300 # 293081 # 293794 # 1 # ID=1_300;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.346
tig00000001:293081-293794|+   -            238 41488at186826        -            143     0.029   11.6   0.0   2   2      0.11        67    0.7   0.0    91   119   163   190   152   212 0.78 tig00000001_300 # 293081 # 293794 # 1 # ID=1_300;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.346
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_downloads/lineages/lactobacillales_odb10/hmms/41488at186826.hmm
# Target file:     /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/run_lactobacillales_odb10/hmmer_output/41488at186826.out --cpu 1 /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_downloads/lineages/lactobacillales_odb10/hmms/41488at186826.hmm /home/vico3159/genome_analyses/analyses/02_assembly/evaluation/busco_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/vico3159/genome_analyses/analyses/02_assembly/evaluation
# Date:            Tue Apr 28 08:09:57 2026
# [ok]
